link_type,rank,use_codes,turn_pocket_length,turn_pockets,alternative_labels,notes
FREEWAY,10,ANY|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|NONE|TAXI|RESTRICTED|NONE,200.0,1,,
EXPRESSWAY,20,ANY|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|NONE|TAXI|RESTRICTED|NONE,200.0,1,XPRESSWAY,
PRINCIPAL,30,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,,
MAJOR,40,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,PRIARTER,
MINOR,50,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,SECARTER,
COLLECTOR,60,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,,
LOCAL_THRU,70,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,0,THRU|LOCAL_ACCESS,
LOCAL,80,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,0,,
FRONTAGE,90,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,,
RAMP,100,ANY|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,0,,
BRIDGE,110,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,1,,
TUNNEL,120,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|TAXI|RESTRICTED|NONE,50.0,0,,
EXTERNAL,130,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|RAIL|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|RESTRICTED|NONE|TAXI,50.0,0,ZONECONN,
WALKWAY,200,ANY|WALK|RESTRICTED|NONE,50.0,0,,
BIKEWAY,210,ANY|BICYCLE|RESTRICTED|NONE,50.0,0,,
BUSWAY,220,ANY|BUS|RESTRICTED|NONE,50.0,0,,
LIGHTRAIL,300,ANY|RAIL|RESTRICTED|NONE,50.0,0,,
HEAVYRAIL,310,ANY|RAIL|RESTRICTED|NONE,50.0,0,,
FERRY,400,ANY|RESTRICTED|NONE,50.0,0,,
OTHER,500,ANY|WALK|BICYCLE|AUTO|TRUCK|BUS|RAIL|SOV|HOV2|HOV3|HOV4|LIGHTTRUCK|HEAVYTRUCK|RESTRICTED|NONE|TAXI,50.0,1,,
WALK,700,any,50.0,0,,
TRANSIT,600,any,50.0,0,,
